task_id,phase,target_type,target,required_fields,acceptance,status,priority
WTR-12,PH2-WATER,water,Plei Krông,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-13,PH2-WATER,water,Thuận Ninh,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-14,PH2-WATER,water,Vạn Hội,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-15,PH2-WATER,water,Định Bình,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
WTR-16,PH2-WATER,water,Đồng Mít,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,P0
COM-01,PH3-COMMUNE,commune,119 Xã Phù Mỹ,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,P1
COM-02,PH3-COMMUNE,commune,133 Xã Sơn Lang,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,P1
COM-03,PH3-COMMUNE,commune,134 Xã SRó,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,P1
COM-04,PH3-COMMUNE,commune,135 Phường Tam Quan,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,P1
EVAC-00,PH4-EVAC,program,134 communes,evacuation_plan;assembly_points;evacuation_routes;priority_notes,per-commune plan from commune office or MISSING,PENDING,P1
COR-01,PH6-ROAD,corridor,"Cat Thanh cluster (109.179,14.042 to 109.157,14.206)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,P1
COR-02,PH6-ROAD,corridor,"Cat Hai to Vung Chua (109.250,13.953 to 109.192,13.740)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,P1
COR-03,PH6-ROAD,corridor,"Hoi Son TK213 to Ka Nak water (108.997,14.097 to 108.563,14.238)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,P1
COR-04,PH6-ROAD,corridor,"Chu Puh Ia Ko to Ia Mor water (107.967,13.333 to 107.650,13.250)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,P1
COR-05,PH6-ROAD,corridor,"Phu Thien to Ayun Ha water (108.125,13.588 to 108.243,13.565)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,P1
PHO-W,PH7-PHOTO,pilot,16 water assets,"1+ photo each (PhotoEvidence, geotagged)",photo row linked + near-asset,PENDING,P1
PHO-S,PH7-PHOTO,pilot,28 registry stations (post-GPS),1+ photo each,photo row linked + near-asset,PENDING,P2
PAN-01,PH8-360,pilot,Bien Ho lake,viewer_url;verified_date,Panoee tour URL verified in browser,PENDING,P2
PAN-02,PH8-360,pilot,1 station (TBD post-GPS),viewer_url;verified_date,same,PENDING,P2
PAN-03,PH8-360,pilot,1 watchtower (TBD post-GPS),viewer_url;verified_date,same,PENDING,P2
